"study","sample_id","outcome","subsample","post_intervention_months","yi","vi","N","design","control","prop_female","guidance"
"Ciochoń (2022)",3,"Anxiety","State anxiety",0,-0.143415938085676,0.00375149380269567,1141,"Quasi-experimental","Informational resources",1,"Partially self-guided"
"Ciochoń (2022)",3,"Anxiety","Trait anxiety",0,-0.168019196434879,0.00375485152358683,1141,"Quasi-experimental","Informational resources",1,"Partially self-guided"
"Dol (2022)",4,"Anxiety","Multiparous",1.5,-0.188962085218008,0.0578501991375135,69,"Experimental","Routine care",1,"Self-guided"
"Dol (2022)",5,"Anxiety","Primiparious",1.5,-0.521779054033173,0.0524151230156083,77,"Experimental","Routine care",1,"Self-guided"
"Jareethum (2008)",8,"Anxiety","Antenatal",0,-0.85288433660934,0.0716951495357188,61,"Experimental","Routine care",1,"Self-guided"
"Jareethum (2008)",9,"Anxiety","Perinatal",0,-0.395312871521333,0.0670136788370048,61,"Experimental","Routine care",1,"Self-guided"
"Jiao (2019)",10,"Anxiety",NA,1,0.188254918063505,0.0296581076059182,128,"Experimental","Routine care",1,"Partially self-guided"
"Jiao (2019)",10,"Anxiety",NA,3,0.060983987541699,0.0295376140333336,116,"Experimental","Routine care",1,"Partially self-guided"
"Jiao (2019)",10,"Anxiety",NA,6,0.100756153329763,0.0295620492325612,124,"Experimental","Routine care",1,"Partially self-guided"
"Lennard (2021)",11,"Anxiety",NA,0,0.0996322774653113,0.0171873367646253,248,"Experimental","Routine care",1,"Self-guided"
"Mogil (2022)",14,"Anxiety","Fathers",12,-0.14,0.0262357936491965,153,"Experimental","Informational resources",0,"Self-guided"
"Mogil (2022)",15,"Anxiety","Mothers",12,-0.14,0.0207767222192547,193,"Experimental","Informational resources",1,"Self-guided"
"Shorey (2019a)",21,"Anxiety",NA,0,0.08269933,0.005984099,210,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Anxiety",NA,1,-1.791819,0.01265967,194,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Anxiety",NA,3,-0.4520897,0.008616898,186,"Experimental","Routine care",0.5,"Partially self-guided"
"Zhang (2023)",23,"Anxiety",NA,0,-0.768705878058005,0.0269787814528161,157,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Anxiety",NA,3,-0.903143228929135,0.0277008833679649,148,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Anxiety",NA,4.5,-0.889354782685942,0.0276214769717973,147,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Anxiety",NA,6,-0.455018726025366,0.0257455008623385,140,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Anxiety",NA,9,-0.658398308112461,0.0264730237910719,135,"Experimental","Routine care",1,"Self-guided"
