"study","sample_id","outcome","subsample","post_intervention_months","yi","vi","N","design","control","prop_female","guidance"
"Baggett (2010)",1,"Depression",NA,0,-0.60745056964912,0.106579828585289,38,"Experimental","Informational resources",1,"Partially self-guided"
"Ciochoń (2022)",3,"Depression",NA,0,-0.130582765044071,0.00374995292943956,1141,"Quasi-experimental","Informational resources",1,"Partially self-guided"
"Dol (2022)",4,"Depression","Multiparous",1.5,0.0108271857593576,0.0575790732896039,69,"Experimental","Routine care",1,"Self-guided"
"Dol (2022)",5,"Depression","Primiparious",1.5,-0.449678464706739,0.0519520720635414,77,"Experimental","Routine care",1,"Self-guided"
"Huang (2021)",7,"Depression",NA,0,-1.03266322015466,0.125922129531391,36,"Experimental","Routine care",1,"Self-guided"
"Huang (2021)",7,"Depression",NA,3,-0.995901577287962,0.124886388217287,36,"Experimental","Routine care",1,"Self-guided"
"Jiao (2019)",10,"Depression",NA,1,0.277949440426444,0.0298169480443367,128,"Experimental","Routine care",1,"Partially self-guided"
"Jiao (2019)",10,"Depression",NA,3,-0.051385610835141,0.0295335170382246,116,"Experimental","Routine care",1,"Partially self-guided"
"Jiao (2019)",10,"Depression",NA,6,0.205542443340563,0.0296839673639082,124,"Experimental","Routine care",1,"Partially self-guided"
"Lennard (2021)",11,"Depression",NA,0,-0.206834357802785,0.0172180552762656,248,"Experimental","Routine care",1,"Self-guided"
"Matvienko-Sikar (2017)",13,"Depression",NA,0,0.10667596554413,0.125158052244789,36,"Experimental","Routine care",1,"Self-guided"
"Mogil (2022)",14,"Depression","Fathers",12,-0.21,0.0263158590086736,153,"Experimental","Informational resources",0,"Self-guided"
"Mogil (2022)",15,"Depression","Mothers",12,-0.2,0.0208295719601873,193,"Experimental","Informational resources",1,"Self-guided"
"Salonen (2014)",18,"Depression",NA,0,-0.038151094602403,0.00536853036745565,760,"Quasi-experimental","Routine care",1,"Self-guided"
"Salonen (2014)",18,"Depression",NA,1.5,0.0777463317534472,0.00799441933183794,512,"Quasi-experimental","Routine care",1,"Self-guided"
"Salonen (2014)",18,"Depression",NA,6,0.0828201546983298,0.00822750707801891,501,"Quasi-experimental","Routine care",1,"Self-guided"
"Salonen (2014)",18,"Depression",NA,12,0.0287659043995953,0.00976416879931318,423,"Quasi-experimental","Routine care",1,"Self-guided"
"Shorey (2017)",21,"Depression",NA,1,-0.0848217982048459,0.0160154135404416,250,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Depression",NA,0,0.02756644,0.007360317,210,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Depression",NA,1,-1.951704,0.01203484,194,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Depression",NA,3,-0.5072226,0.01638029,186,"Experimental","Routine care",0.5,"Partially self-guided"
"Zhang (2023)",23,"Depression",NA,0,-0.622964227884868,0.0263271508767691,157,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Depression",NA,3,-1.05289728656597,0.0286419880151327,148,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Depression",NA,4.5,-0.854016687992401,0.0274235456439572,147,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Depression",NA,6,-0.73117867122637,0.0267979451807345,140,"Experimental","Routine care",1,"Self-guided"
"Zhang (2023)",23,"Depression",NA,9,-0.69900680969241,0.0266501194518787,135,"Experimental","Routine care",1,"Self-guided"
"Zuckerman (2022)",24,"Depression",NA,6,-0.530091561421286,0.07222800110616,58,"Quasi-experimental","Routine care",1,"Partially self-guided"
