"study","sample_id","outcome","subsample","post_intervention_months","yi","vi","N","design","control","prop_female","guidance"
"Jareethum (2008)",8,"Parent satisfaction","Antenatal",0,1.34116638068313,0.0804764246917938,61,"Experimental","Routine care",1,"Self-guided"
"Jareethum (2008)",9,"Parent satisfaction","Perinatal",0,0.741873729749582,0.0702440424804647,61,"Experimental","Routine care",1,"Self-guided"
"Lindsay (2017)",12,"Parent satisfaction",NA,0,-0.29069982737135,0.00972494074217423,422,"Quasi-experimental","Routine care",0.92,"Self-guided"
"Salonen (2014)",18,"Parent satisfaction",NA,0,-0.0790188213143296,0.00537168067541785,760,"Quasi-experimental","Routine care",1,"Self-guided"
"Salonen (2014)",18,"Parent satisfaction",NA,1.5,0.123842449941784,0.00800349400010597,512,"Quasi-experimental","Routine care",1,"Self-guided"
"Salonen (2014)",18,"Parent satisfaction",NA,6,-0.0999929885924437,0.00823064023145543,501,"Quasi-experimental","Routine care",1,"Self-guided"
"Salonen (2014)",18,"Parent satisfaction",NA,12,-0.0339750969923646,0.00976455512314263,423,"Quasi-experimental","Routine care",1,"Self-guided"
"Shorey (2017)",21,"Parent satisfaction",NA,1,2.49811472008705,0.0284821783749714,250,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Parent satisfaction",NA,0,0.01653987,0.009971628,210,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Parent satisfaction",NA,1,1.918625,0.009417759,194,"Experimental","Routine care",0.5,"Partially self-guided"
"Shorey (2019a)",21,"Parent satisfaction",NA,3,0.7939136,0.01172819,186,"Experimental","Routine care",0.5,"Partially self-guided"
