"study","sample_id","outcome","subsample","post_intervention_months","yi","vi","N","design","control","prop_female","guidance"
"Baggett (2010)",84,"Parent-child interaction","Infant behavior",5,2.3422891666297,0.1774515597383,38,"Experimental","Informational resources",1,"Partially self-guided"
"Baggett (2010)",85,"Parent-child interaction","Responsiveness",5,1.61551210065018,0.139603675622989,38,"Experimental","Informational resources",1,"Partially self-guided"
"Breitenstein (2021)",86,"Parent-child interaction",NA,3,1.20489145575402,0.0185873356822094,255,"Quasi-experimental","Informational resources",0.8,"Self-guided"
"Breitenstein (2021)",87,"Parent-child interaction",NA,6,0.756866964054604,0.0163036884324155,263,"Quasi-experimental","Informational resources",0.8,"Self-guided"
"Breitenstein (2021)",88,"Parent-child interaction",NA,12,0.819538648138655,0.0169520776028229,256,"Quasi-experimental","Informational resources",0.8,"Self-guided"
"Ehrensaft (2016)",89,"Parent-child interaction",NA,0,0.257172766016903,0.0947686602850575,44,"Experimental","Routine care",1,"Self-guided"
"Mogil (2022)",90,"Parent-child interaction","Mothers",12,0.36,0.0210616963125189,193,"Experimental","Informational resources",1,"Self-guided"
"Mogil (2022)",91,"Parent-child interaction","Fathers",12,0,0.0261717413616148,153,"Experimental","Informational resources",0,"Self-guided"
"Na (2008)",92,"Parent-child interaction",NA,0,0.00143604024787912,0.0105595578539019,418,"Experimental","Routine care",0.68,"Self-guided"
"Park (2022)",93,"Parent-child interaction",NA,0,1.6098,0.166,32,"Quasi-experimental","Routine care",0,"Partially self-guided"
